Year,Country,fertility,life,population,child_mortality,gdp,region
1970,Trinidad and Tobago,3.554,65.081,967658,51.6,11495,America
1971,Trinidad and Tobago,3.484,65.228,977679,50.6,11558,America
1972,Trinidad and Tobago,3.432,65.407,985548,49.5,12081,America
1973,Trinidad and Tobago,3.389,65.61,992348,48.3,12187,America
1974,Trinidad and Tobago,3.349,65.833,999650,47.2,12729,America
1975,Trinidad and Tobago,3.313,66.067,1008617,46,12847,America
1976,Trinidad and Tobago,3.287,66.3,1019403,44.7,13904,America
1977,Trinidad and Tobago,3.273,66.519,1031694,43.4,14568,America
1978,Trinidad and Tobago,3.271,66.714,1045600,42,16047,America
1979,Trinidad and Tobago,3.278,66.882,1061140,40.7,16549,America
1980,Trinidad and Tobago,3.284,67.022,1078200,39.5,17624,America
1981,Trinidad and Tobago,3.281,67.138,1097067,38.3,18248,America
1982,Trinidad and Tobago,3.261,67.239,1117461,37,16989,America
1983,Trinidad and Tobago,3.218,67.335,1138006,35.9,15457,America
1984,Trinidad and Tobago,3.151,67.428,1156858,34.9,16175,America
1985,Trinidad and Tobago,3.06,67.523,1172735,34,15331,America
1986,Trinidad and Tobago,2.949,67.62,1185012,33.1,14682,America
1987,Trinidad and Tobago,2.827,67.719,1194138,32.3,13902,America
1988,Trinidad and Tobago,2.7,67.817,1201224,31.6,13310,America
1989,Trinidad and Tobago,2.574,67.914,1207942,31,13206,America
1990,Trinidad and Tobago,2.453,68.007,1215494,30.5,13464,America
1991,Trinidad and Tobago,2.339,68.094,1224233,30,13735,America
1992,Trinidad and Tobago,2.231,68.171,1233753,29.7,13426,America
1993,Trinidad and Tobago,2.131,68.238,1243590,29.4,13158,America
1994,Trinidad and Tobago,2.04,68.296,1253000,29.2,13562,America
1995,Trinidad and Tobago,1.961,68.344,1261443,29,14046,America
1996,Trinidad and Tobago,1.896,68.384,1268851,28.9,14561,America
1997,Trinidad and Tobago,1.843,68.419,1275460,28.8,14928,America
1998,Trinidad and Tobago,1.801,68.452,1281396,28.8,16064,America
1999,Trinidad and Tobago,1.772,68.489,1286871,28.7,16739,America
2000,Trinidad and Tobago,1.753,68.533,1292058,28.7,17721,America
2001,Trinidad and Tobago,1.744,68.59,1296962,28.6,18383,America
2002,Trinidad and Tobago,1.744,68.661,1301576,28.3,19773,America
2003,Trinidad and Tobago,1.749,68.747,1306065,28,22519,America
2004,Trinidad and Tobago,1.758,68.847,1310622,27.5,24175,America
2005,Trinidad and Tobago,1.769,68.958,1315386,26.9,25439,America
2006,Trinidad and Tobago,1.779,69.078,1320418,26.3,28790,America
2007,Trinidad and Tobago,1.788,69.2,1325672,25.6,30008,America
2008,Trinidad and Tobago,1.796,69.321,1331040,24.9,30875,America
2009,Trinidad and Tobago,1.8,69.438,1336349,24.3,29383,America
2010,Trinidad and Tobago,1.802,69.55,1341465,23.6,29321,America
2011,Trinidad and Tobago,1.801,69.657,1346350,22.9,28743,America
2012,Trinidad and Tobago,1.799,69.761,1350999,22.2,29086,America
2013,Trinidad and Tobago,1.797,69.865,1355342,21.5,29469,America
1964,Tunisia,7.107,44.903,4541457,244.7,2575,Middle East & North Africa
1965,Tunisia,7.059,45.795,4630000,233.5,2683,Middle East & North Africa
1966,Tunisia,6.978,46.759,4723497,222.3,2690,Middle East & North Africa
1967,Tunisia,6.869,47.786,4821782,211.2,2615,Middle East & North Africa
1968,Tunisia,6.737,48.867,4923201,200.6,2831,Middle East & North Africa
1969,Tunisia,6.59,49.988,5025402,190.3,2876,Middle East & North Africa
1970,Tunisia,6.438,51.133,5127001,180.6,2990,Middle East & North Africa
1971,Tunisia,6.292,52.289,5226965,171.1,3246,Middle East & North Africa
1972,Tunisia,6.16,53.442,5326668,162.1,3746,Middle East & North Africa
1973,Tunisia,6.046,54.581,5430023,153,3639,Middle East & North Africa
1974,Tunisia,5.95,55.696,5542400,144.1,3841,Middle East & North Africa
1975,Tunisia,5.867,56.786,5667516,135.1,4011,Middle East & North Africa
1976,Tunisia,5.79,57.859,5806713,126.3,4215,Middle East & North Africa
1977,Tunisia,5.706,58.921,5958456,117.7,4255,Middle East & North Africa
1978,Tunisia,5.606,59.972,6120018,109.6,4434,Middle East & North Africa
1979,Tunisia,5.488,61.003,6287287,102.3,4618,Middle East & North Africa
1980,Tunisia,5.349,61.993,6457092,95.7,4837,Middle East & North Africa
1981,Tunisia,5.189,62.919,6628154,89.9,4980,Middle East & North Africa
1982,Tunisia,5.015,63.766,6800734,84.6,4863,Middle East & North Africa
1983,Tunisia,4.833,64.53,6974955,80,4999,Middle East & North Africa
1984,Tunisia,4.645,65.214,7151430,75.6,5048,Middle East & North Africa
1985,Tunisia,4.454,65.836,7330267,71.5,5205,Middle East & North Africa
1986,Tunisia,4.265,66.42,7511099,67.9,5002,Middle East & North Africa
1987,Tunisia,4.077,66.994,7692463,64.7,5214,Middle East & North Africa
1988,Tunisia,3.893,67.576,7872065,61.9,5109,Middle East & North Africa
1989,Tunisia,3.714,68.172,8047027,59.3,5196,Middle East & North Africa
1990,Tunisia,3.538,68.779,8215111,57,5502,Middle East & North Africa
1991,Tunisia,3.363,69.387,8375587,54.8,5604,Middle East & North Africa
1992,Tunisia,3.188,69.973,8528401,52.5,5920,Middle East & North Africa
1993,Tunisia,3.013,70.522,8672916,50.1,5991,Middle East & North Africa
1994,Tunisia,2.841,71.026,8808669,47.5,6031,Middle East & North Africa
1995,Tunisia,2.676,71.481,8935523,44.9,6055,Middle East & North Africa
1996,Tunisia,2.524,71.888,9053410,42.1,6393,Middle East & North Africa
1997,Tunisia,2.389,72.254,9162870,39.3,6649,Middle East & North Africa
1998,Tunisia,2.275,72.586,9265266,36.5,6879,Middle East & North Africa
1999,Tunisia,2.183,72.887,9362447,34,7201,Middle East & North Africa
2000,Tunisia,2.114,73.159,9456117,31.7,7464,Middle East & North Africa
2001,Tunisia,2.068,73.4,9546453,29.6,7699,Middle East & North Africa
2002,Tunisia,2.041,73.613,9634180,27.8,7752,Middle East & North Africa
2003,Tunisia,2.027,73.804,9722180,26,8094,Middle East & North Africa
2004,Tunisia,2.023,73.979,9814009,24.5,8468,Middle East & North Africa
2005,Tunisia,2.025,74.149,9912114,23,8707,Middle East & North Africa
2006,Tunisia,2.031,74.323,10017832,21.7,9109,Middle East & North Africa
2007,Tunisia,2.038,74.506,10130368,20.5,9585,Middle East & North Africa
2008,Tunisia,2.044,74.704,10247325,19.4,9938,Middle East & North Africa
2009,Tunisia,2.046,74.918,10365089,18.3,10187,Middle East & North Africa
2010,Tunisia,2.044,75.147,10480934,17.4,10411,Middle East & North Africa
2011,Tunisia,2.036,75.388,10594057,16.5,10235,Middle East & North Africa
2012,Tunisia,2.023,75.632,10704948,15.8,10609,Middle East & North Africa
2013,Tunisia,2.008,75.873,10813680,15.2,10768,Middle East & North Africa
1964,Turkey,6.029,48.313,31109820,221.9,5296,Europe & Central Asia
1965,Turkey,5.951,49.037,31837999,215.4,5309,Europe & Central Asia
1966,Turkey,5.874,49.736,32556294,209.3,5906,Europe & Central Asia
1967,Turkey,5.797,50.409,33267998,203.4,6020,Europe & Central Asia
1968,Turkey,5.721,51.057,33982141,197.8,6295,Europe & Central Asia
1969,Turkey,5.644,51.683,34711167,192.3,6470,Europe & Central Asia
1970,Turkey,5.563,52.291,35464196,186.9,6740,Europe & Central Asia
1971,Turkey,5.475,52.893,36245756,181.5,6765,Europe & Central Asia
1972,Turkey,5.375,53.498,37054168,175.9,7186,Europe & Central Asia
1973,Turkey,5.263,54.115,37884870,170.3,7442,Europe & Central Asia
1974,Turkey,5.14,54.746,38730367,164.5,7991,Europe & Central Asia
1975,Turkey,5.008,55.392,39585821,158.6,8381,Europe & Central Asia
1976,Turkey,4.872,56.05,40446729,152.7,9142,Europe & Central Asia
1977,Turkey,4.738,56.713,41316297,146.7,8863,Europe & Central Asia
1978,Turkey,4.608,57.373,42206204,140.7,8400,Europe & Central Asia
1979,Turkey,4.483,58.025,43132612,134.7,8160,Europe & Central Asia
1980,Turkey,4.361,58.668,44105216,128.7,7828,Europe & Central Asia
1981,Turkey,4.239,59.299,45130008,122.7,8518,Europe & Central Asia
1982,Turkey,4.114,59.917,46198027,116.7,8323,Europe & Central Asia
1983,Turkey,3.982,60.522,47285732,110.7,8535,Europe & Central Asia
1984,Turkey,3.844,61.113,48360679,104.9,8798,Europe & Central Asia
1985,Turkey,3.704,61.685,49399630,99.3,9163,Europe & Central Asia
1986,Turkey,3.563,62.234,50393538,93.9,9556,Europe & Central Asia
1987,Turkey,3.427,62.761,51349154,88.7,10351,Europe & Central Asia
1988,Turkey,3.3,63.27,52278499,83.7,10421,Europe & Central Asia
1989,Turkey,3.183,63.766,53200802,79,10103,Europe & Central Asia
1990,Turkey,3.078,64.259,54130268,74.5,10670,Europe & Central Asia
1991,Turkey,2.987,64.76,55068880,70.3,10568,Europe & Central Asia
1992,Turkey,2.906,65.278,56012109,66.3,10920,Europe & Central Asia
1993,Turkey,2.835,65.817,56959988,62.4,11569,Europe & Central Asia
1994,Turkey,2.772,66.38,57911273,58.8,10857,Europe & Central Asia
1995,Turkey,2.715,66.967,58864649,55.2,11530,Europe & Central Asia
1996,Turkey,2.661,67.574,59821978,51.8,12190,Europe & Central Asia
1997,Turkey,2.609,68.193,60783217,48.6,12911,Europe & Central Asia
1998,Turkey,2.557,68.812,61742674,45.4,13008,Europe & Central Asia
1999,Turkey,2.506,69.421,62692616,42.4,12381,Europe & Central Asia
2000,Turkey,2.454,70.01,63627862,39.6,13025,Europe & Central Asia
2001,Turkey,2.404,70.57,64544914,36.9,12106,Europe & Central Asia
2002,Turkey,2.356,71.097,65446165,34.4,12669,Europe & Central Asia
2003,Turkey,2.311,71.589,66339433,32,13151,Europe & Central Asia
2004,Turkey,2.27,72.045,67235927,29.7,14187,Europe & Central Asia
2005,Turkey,2.234,72.466,68143186,27.7,15176,Europe & Central Asia
2006,Turkey,2.202,72.858,69063538,25.7,16013,Europe & Central Asia
2007,Turkey,2.173,73.228,69992754,23.9,16551,Europe & Central Asia
2008,Turkey,2.147,73.585,70923730,22.2,16454,Europe & Central Asia
2009,Turkey,2.123,73.932,71846212,20.6,15467,Europe & Central Asia
2010,Turkey,2.101,74.274,72752325,19.1,16674,Europe & Central Asia
2011,Turkey,2.08,74.609,73639596,17.8,17908,Europe & Central Asia
2012,Turkey,2.06,74.938,74508771,16.5,18057,Europe & Central Asia
2013,Turkey,2.041,75.259,75359032,15.4,18579,Europe & Central Asia
1964,Turkmenistan,6.663,56.181,1829697,132.98,7952,Europe & Central Asia
1965,Turkmenistan,6.616,56.604,1890000,128.76,8309,Europe & Central Asia
1966,Turkmenistan,6.545,57.017,1949425,124.57,8622,Europe & Central Asia
1967,Turkmenistan,6.469,57.413,2008148,120.44,8916,Europe & Central Asia
1968,Turkmenistan,6.403,57.79,2066889,122.16,9355,Europe & Central Asia
1969,Turkmenistan,6.35,58.143,2126749,123.9,9406,Europe & Central Asia
1970,Turkmenistan,6.302,58.468,2188499,125.67,10045,Europe & Central Asia
1971,Turkmenistan,6.249,58.761,2252386,127.47,10221,Europe & Central Asia
1972,Turkmenistan,6.175,59.024,2318070,129.29,10186,Europe & Central Asia
1973,Turkmenistan,6.071,59.263,2385039,131.14,10948,Europe & Central Asia
1974,Turkmenistan,5.939,59.484,2452528,133.01,10900,Europe & Central Asia
1975,Turkmenistan,5.783,59.699,2520002,134.92,10576,Europe & Central Asia
1976,Turkmenistan,5.612,59.921,2587417,136.84,10715,Europe & Central Asia
1977,Turkmenistan,5.441,60.16,2655036,138.8,10617,Europe & Central Asia
1978,Turkmenistan,5.279,60.418,2723006,133.9,10538,Europe & Central Asia
1979,Turkmenistan,5.135,60.697,2791575,129.4,10158,Europe & Central Asia
1980,Turkmenistan,5.012,60.995,2861000,124.8,9853,Europe & Central Asia
1981,Turkmenistan,4.915,61.307,2931343,120.4,9632,Europe & Central Asia
1982,Turkmenistan,4.836,61.618,3002785,116,9559,Europe & Central Asia
1983,Turkmenistan,4.772,61.916,3075867,111.7,9553,Europe & Central Asia
1984,Turkmenistan,4.718,62.189,3151262,107.6,9362,Europe & Central Asia
1985,Turkmenistan,4.669,62.42,3229499,103.6,9143,Europe & Central Asia
1986,Turkmenistan,4.623,62.594,3310059,100,9216,Europe & Central Asia
1987,Turkmenistan,4.572,62.708,3392823,96.7,9040,Europe & Central Asia
1988,Turkmenistan,4.513,62.767,3479088,94,8944,Europe & Central Asia
1989,Turkmenistan,4.44,62.783,3570558,91.9,8822,Europe & Central Asia
1990,Turkmenistan,4.345,62.773,3668000,90.5,8353,Europe & Central Asia
1991,Turkmenistan,4.222,62.764,3772350,89.7,7748,Europe & Central Asia
1992,Turkmenistan,4.071,62.778,3881973,89.6,6402,Europe & Central Asia
1993,Turkmenistan,3.898,62.832,3991917,89.7,6320,Europe & Central Asia
1994,Turkmenistan,3.707,62.932,4095512,89.6,5094,Europe & Central Asia
1995,Turkmenistan,3.512,63.074,4188010,89.4,4623,Europe & Central Asia
1996,Turkmenistan,3.325,63.249,4267690,88.7,4841,Europe & Central Asia
1997,Turkmenistan,3.159,63.435,4335991,87.5,4221,Europe & Central Asia
1998,Turkmenistan,3.021,63.615,4395293,85.8,4460,Europe & Central Asia
1999,Turkmenistan,2.914,63.78,4449427,83.8,5132,Europe & Central Asia
2000,Turkmenistan,2.837,63.925,4501419,81.6,5351,Europe & Central Asia
2001,Turkmenistan,2.783,64.048,4551737,79.2,5521,Europe & Central Asia
2002,Turkmenistan,2.741,64.154,4600093,76.9,5477,Europe & Central Asia
2003,Turkmenistan,2.701,64.251,4647912,74.7,5598,Europe & Central Asia
2004,Turkmenistan,2.66,64.341,4696771,72.4,5817,Europe & Central Asia
2005,Turkmenistan,2.615,64.429,4747839,70.1,6505,Europe & Central Asia
2006,Turkmenistan,2.569,64.522,4801847,68,7137,Europe & Central Asia
2007,Turkmenistan,2.523,64.624,4858843,66,7834,Europe & Central Asia
2008,Turkmenistan,2.482,64.737,4918396,63.9,8877,Europe & Central Asia
2009,Turkmenistan,2.445,64.862,4979672,61.9,9303,Europe & Central Asia
2010,Turkmenistan,2.412,65,5041995,60.1,10032,Europe & Central Asia
2011,Turkmenistan,2.381,65.147,5105301,58.2,11361,Europe & Central Asia
2012,Turkmenistan,2.353,65.299,5169660,56.5,12460,Europe & Central Asia
2013,Turkmenistan,2.326,65.452,5234640,54.7,13555,Europe & Central Asia
1964,Uganda,7.078,46.332,7746988,204.3,965,Sub-Saharan Africa
1965,Uganda,7.094,46.891,8014352,200,960,Sub-Saharan Africa
1966,Uganda,7.106,47.406,8290837,195.8,991,Sub-Saharan Africa
1967,Uganda,7.113,47.864,8576166,192.1,1015,Sub-Saharan Africa
1968,Uganda,7.117,48.256,8866641,189,1012,Sub-Saharan Africa
1969,Uganda,7.118,48.577,9157569,186.3,1092,Sub-Saharan Africa
1970,Uganda,7.115,48.825,9445932,184.6,1079,Sub-Saharan Africa
1971,Uganda,7.111,49.005,9730174,184.1,1084,Sub-Saharan Africa
1972,Uganda,7.107,49.131,10012125,184.7,1071,Sub-Saharan Africa
1973,Uganda,7.103,49.218,10296444,186.5,1046,Sub-Saharan Africa
1974,Uganda,7.1,49.277,10589763,189.4,1027,Sub-Saharan Africa
1975,Uganda,7.099,49.319,10897136,193.2,982,Sub-Saharan Africa
1976,Uganda,7.099,49.354,11221247,197.5,967,Sub-Saharan Africa
1977,Uganda,7.099,49.385,11561734,202,958,Sub-Saharan Africa
1978,Uganda,7.099,49.412,11917048,206,884,Sub-Saharan Africa
1979,Uganda,7.1,49.437,12284315,208.9,770,Sub-Saharan Africa
1980,Uganda,7.1,49.456,12662131,210.3,729,Sub-Saharan Africa
1981,Uganda,7.101,49.468,13049012,208.9,740,Sub-Saharan Africa
1982,Uganda,7.101,49.461,13447769,204.4,781,Sub-Saharan Africa
1983,Uganda,7.102,49.425,13866291,198.1,816,Sub-Saharan Africa
1984,Uganda,7.103,49.352,14315090,191.7,724,Sub-Saharan Africa
1985,Uganda,7.103,49.222,14801113,186.4,716,Sub-Saharan Africa
1986,Uganda,7.103,49.013,15327718,182.3,695,Sub-Saharan Africa
1987,Uganda,7.102,48.723,15891143,179.7,713,Sub-Saharan Africa
1988,Uganda,7.1,48.364,16482365,177.8,736,Sub-Saharan Africa
1989,Uganda,7.097,47.953,17088426,175.7,762,Sub-Saharan Africa
1990,Uganda,7.091,47.514,17699717,173.1,767,Sub-Saharan Africa
1991,Uganda,7.082,47.069,18314701,170,782,Sub-Saharan Africa
1992,Uganda,7.071,46.655,18935726,166.6,781,Sub-Saharan Africa
1993,Uganda,7.057,46.312,19561967,163.4,818,Sub-Saharan Africa
1994,Uganda,7.039,46.074,20193432,161.1,842,Sub-Saharan Africa
1995,Uganda,7.018,45.983,20831075,159.5,910,Sub-Saharan Africa
1996,Uganda,6.994,46.071,21473592,158.2,961,Sub-Saharan Africa
1997,Uganda,6.967,46.34,22123185,156.6,979,Sub-Saharan Africa
1998,Uganda,6.937,46.78,22788843,154.1,996,Sub-Saharan Africa
1999,Uganda,6.903,47.381,23482533,150.4,1043,Sub-Saharan Africa
2000,Uganda,6.865,48.126,24213120,145.4,1042,Sub-Saharan Africa
2001,Uganda,6.822,48.988,24984181,139.2,1060,Sub-Saharan Africa
2002,Uganda,6.772,49.928,25794397,132.2,1115,Sub-Saharan Africa
2003,Uganda,6.716,50.906,26641627,124.6,1147,Sub-Saharan Africa
2004,Uganda,6.653,51.889,27521632,116.8,1184,Sub-Saharan Africa
2005,Uganda,6.583,52.86,28431204,109.1,1217,Sub-Saharan Africa
2006,Uganda,6.507,53.809,29370251,102,1304,Sub-Saharan Africa
2007,Uganda,6.425,54.74,30339895,95.3,1367,Sub-Saharan Africa
2008,Uganda,6.338,55.647,31339392,89.3,1437,Sub-Saharan Africa
2009,Uganda,6.248,56.514,32367909,84,1490,Sub-Saharan Africa
2010,Uganda,6.155,57.319,33424683,79.5,1515,Sub-Saharan Africa
2011,Uganda,6.06,58.038,34509205,74.6,1607,Sub-Saharan Africa
2012,Uganda,5.964,58.668,35620977,69.4,1622,Sub-Saharan Africa
2013,Uganda,5.867,59.209,36759274,65.1,1621,Sub-Saharan Africa
1964,Ukraine,2.07,72.19,44868657,45.18,6239,Europe & Central Asia
1965,Ukraine,2.032,71.63,45340503,43.35,6515,Europe & Central Asia
1966,Ukraine,2.015,71.9,45779461,41.59,6756,Europe & Central Asia
1967,Ukraine,2.014,71.5,46187918,39.9,6982,Europe & Central Asia
1968,Ukraine,2.021,71.59,46573376,38.28,7320,Europe & Central Asia
1969,Ukraine,2.034,70.97,46947038,36.72,7355,Europe & Central Asia
1970,Ukraine,2.047,70.87,47316501,35.23,7850,Europe & Central Asia
1971,Ukraine,2.056,71.1,47685533,33.8,7982,Europe & Central Asia
1972,Ukraine,2.059,70.86,48050256,32.6,7950,Europe & Central Asia
1973,Ukraine,2.056,71.05,48401549,31.6,8538,Europe & Central Asia
1974,Ukraine,2.046,70.94,48726373,30.7,8742,Europe & Central Asia
1975,Ukraine,2.031,70.28,49015998,30,8724,Europe & Central Asia
1976,Ukraine,2.014,70.34,49266997,29.4,9090,Europe & Central Asia
1977,Ukraine,1.999,70.02,49484239,29,9262,Europe & Central Asia
1978,Ukraine,1.988,69.98,49677426,28.5,9454,Europe & Central Asia
1979,Ukraine,1.982,69.72,49860466,28,9372,Europe & Central Asia
1980,Ukraine,1.984,69.7,50043550,27.4,9349,Europe & Central Asia
1981,Ukraine,1.993,69.74,50227328,26.6,9400,Europe & Central Asia
1982,Ukraine,2.008,69.9,50408687,25.7,9594,Europe & Central Asia
1983,Ukraine,2.026,69.88,50589152,24.7,9860,Europe & Central Asia
1984,Ukraine,2.041,69.57,50769702,23.8,9937,Europe & Central Asia
1985,Ukraine,2.05,69.88,50949364,22.7,9981,Europe & Central Asia
1986,Ukraine,2.048,71.24,51128208,21.8,10346,Europe & Central Asia
1987,Ukraine,2.029,71.04,51301215,21,10437,Europe & Central Asia
1988,Ukraine,1.994,70.93,51455595,20.3,10621,Europe & Central Asia
1989,Ukraine,1.942,70.88,51574638,19.8,10773,Europe & Central Asia
1990,Ukraine,1.872,70.46,51644914,19.5,10490,Europe & Central Asia
1991,Ukraine,1.788,69.64,51666114,19.5,9588,Europe & Central Asia
1992,Ukraine,1.694,69,51637719,19.7,8633,Europe & Central Asia
1993,Ukraine,1.597,68.31,51546666,19.9,7401,Europe & Central Asia
1994,Ukraine,1.501,67.7,51377434,20.2,5732,Europe & Central Asia
1995,Ukraine,1.41,66.79,51121722,20.5,5073,Europe & Central Asia
1996,Ukraine,1.33,67.11,50773323,20.5,4606,Europe & Central Asia
1997,Ukraine,1.261,67.69,50342838,20.3,4509,Europe & Central Asia
1998,Ukraine,1.204,68.57,49860125,19.9,4463,Europe & Central Asia
1999,Ukraine,1.163,68.15,49366106,19.2,4496,Europe & Central Asia
2000,Ukraine,1.139,67.79,48891792,18.5,4809,Europe & Central Asia
2001,Ukraine,1.135,67.93,48448267,17.6,5305,Europe & Central Asia
2002,Ukraine,1.149,67.81,48032368,16.7,5637,Europe & Central Asia
2003,Ukraine,1.176,67.87,47643278,15.9,6217,Europe & Central Asia
2004,Ukraine,1.214,67.73,47275250,15.1,7022,Europe & Central Asia
2005,Ukraine,1.258,67.31,46923927,14.5,7265,Europe & Central Asia
2006,Ukraine,1.304,67.96,46591797,14,7848,Europe & Central Asia
2007,Ukraine,1.347,68.17,46282158,13.4,8519,Europe & Central Asia
2008,Ukraine,1.384,68.306,45991584,12.9,8762,Europe & Central Asia
2009,Ukraine,1.414,68.076,45715010,12.3,7498,Europe & Central Asia
2010,Ukraine,1.435,68.188,45448329,11.8,7844,Europe & Central Asia
2011,Ukraine,1.45,68.301,45190180,11.2,8282,Europe & Central Asia
2012,Ukraine,1.46,68.414,44940268,10.6,8319,Europe & Central Asia
2013,Ukraine,1.47,68.525,44696741,10,8338,Europe & Central Asia
1964,United Arab Emirates,6.861,56.328,134478,162.2,5021,Middle East & North Africa
1965,United Arab Emirates,6.841,57.314,146387,151.3,8534,Middle East & North Africa
1966,United Arab Emirates,6.816,58.266,156934,140.4,14505,Middle East & North Africa
1967,United Arab Emirates,6.783,59.176,167420,129.4,24652,Middle East & North Africa
1968,United Arab Emirates,6.738,60.038,180858,118.6,29634,Middle East & North Africa
1969,United Arab Emirates,6.679,60.85,201308,108.2,35623,Middle East & North Africa
1970,United Arab Emirates,6.605,61.614,231754,98.4,42822,Middle East & North Africa
1971,United Arab Emirates,6.512,62.333,272529,89.1,41464,Middle East & North Africa
1972,United Arab Emirates,6.402,63.018,322868,80.6,39798,Middle East & North Africa
1973,United Arab Emirates,6.279,63.675,383152,72.8,60948,Middle East & North Africa
1974,United Arab Emirates,6.146,64.307,453530,65.8,149185,Middle East & North Africa
1975,United Arab Emirates,6.009,64.917,533554,59.4,167748,Middle East & North Africa
1976,United Arab Emirates,5.873,65.506,624390,53.5,165063,Middle East & North Africa
1977,United Arab Emirates,5.744,66.069,724684,48.2,167326,Middle East & North Africa
1978,United Arab Emirates,5.624,66.608,828378,43.4,143058,Middle East & North Africa
1979,United Arab Emirates,5.517,67.123,927412,39,159226,Middle East & North Africa
1980,United Arab Emirates,5.423,67.615,1016228,35.2,182668,Middle East & North Africa
1981,United Arab Emirates,5.344,68.086,1092153,31.9,181228,Middle East & North Africa
1982,United Arab Emirates,5.274,68.537,1157336,29,158177,Middle East & North Africa
1983,United Arab Emirates,5.209,68.969,1217021,26.5,144955,Middle East & North Africa
1984,United Arab Emirates,5.141,69.383,1279010,24.4,139882,Middle East & North Africa
1985,United Arab Emirates,5.065,69.78,1349000,22.7,129469,Middle East & North Africa
1986,United Arab Emirates,4.973,70.157,1428788,21.1,100191,Middle East & North Africa
1987,United Arab Emirates,4.86,70.515,1516782,19.7,101308,Middle East & North Africa
1988,United Arab Emirates,4.724,70.854,1611257,18.5,82687,Middle East & North Africa
1989,United Arab Emirates,4.566,71.177,1709232,17.4,92115,Middle East & North Africa
1990,United Arab Emirates,4.388,71.485,1808642,16.5,114832,Middle East & North Africa
1991,United Arab Emirates,4.193,71.781,1909812,15.6,109658,Middle East & North Africa
1992,United Arab Emirates,3.989,72.068,2014095,14.8,107416,Middle East & North Africa
1993,United Arab Emirates,3.784,72.347,2121704,14.2,103224,Middle East & North Africa
1994,United Arab Emirates,3.583,72.62,2232980,13.6,104855,Middle East & North Africa
1995,United Arab Emirates,3.393,72.89,2348539,13,106425,Middle East & North Africa
1996,United Arab Emirates,3.215,73.155,2473983,12.6,106923,Middle East & North Africa
1997,United Arab Emirates,3.052,73.415,2611610,12.2,109553,Middle East & North Africa
1998,United Arab Emirates,2.902,73.669,2755497,11.8,104107,Middle East & North Africa
1999,United Arab Emirates,2.766,73.918,2897038,11.5,101940,Middle East & North Africa
2000,United Arab Emirates,2.644,74.163,3033491,11.1,108048,Middle East & North Africa
2001,United Arab Emirates,2.532,74.405,3149440,10.9,105860,Middle East & North Africa
2002,United Arab Emirates,2.428,74.643,3254691,10.6,105346,Middle East & North Africa
2003,United Arab Emirates,2.329,74.877,3400959,10.3,109675,Middle East & North Africa
2004,United Arab Emirates,2.236,75.108,3658042,10.1,110662,Middle East & North Africa
2005,United Arab Emirates,2.149,75.332,4069349,9.8,102324,Middle East & North Africa
2006,United Arab Emirates,2.071,75.549,4662728,9.6,95637,Middle East & North Africa
2007,United Arab Emirates,2.004,75.757,5405541,9.4,82993,Middle East & North Africa
2008,United Arab Emirates,1.948,75.955,6206623,9.1,73029,Middle East & North Africa
2009,United Arab Emirates,1.903,76.144,6938815,8.8,60955,Middle East & North Africa
2010,United Arab Emirates,1.868,76.325,7511690,8.5,56644,Middle East & North Africa
2011,United Arab Emirates,1.841,76.5,7890924,8.2,56192,Middle East & North Africa
2012,United Arab Emirates,1.82,76.671,8105873,7.8,57028,Middle East & North Africa
2013,United Arab Emirates,1.801,76.841,8207940,7.4,59092,Middle East & North Africa
1964,United Kingdom,2.791,71.62,54006245,24.2,15067,Europe & Central Asia
1965,United Kingdom,2.757,71.61,54349899,23.4,15292,Europe & Central Asia
1966,United Kingdom,2.696,71.53,54666008,22.8,15494,Europe & Central Asia
1967,United Kingdom,2.613,72.16,54954044,22.2,15777,Europe & Central Asia
1968,United Kingdom,2.515,71.79,55212835,21.8,16357,Europe & Central Asia
1969,United Kingdom,2.407,71.75,55443064,21.4,16616,Europe & Central Asia
1970,United Kingdom,2.294,72,55645390,21,16933,Europe & Central Asia
1971,United Kingdom,2.182,72.32,55819499,20.6,17207,Europe & Central Asia
1972,United Kingdom,2.074,72.1,55964697,20.1,17793,Europe & Central Asia
1973,United Kingdom,1.976,72.31,56081455,19.4,19043,Europe & Central Asia
1974,United Kingdom,1.892,72.51,56170690,18.7,18801,Europe & Central Asia
1975,United Kingdom,1.825,72.78,56234250,18,18699,Europe & Central Asia
1976,United Kingdom,1.776,72.76,56273041,17.2,19207,Europe & Central Asia
1977,United Kingdom,1.744,73.25,56290629,16.5,19684,Europe & Central Asia
1978,United Kingdom,1.727,73.18,56295032,15.7,20337,Europe & Central Asia
1979,United Kingdom,1.721,73.29,56296406,14.9,20871,Europe & Central Asia
1980,United Kingdom,1.726,73.72,56303011,14.1,20417,Europe & Central Asia
1981,United Kingdom,1.739,74.06,56317534,13.4,20149,Europe & Central Asia
1982,United Kingdom,1.757,74.19,56341308,12.7,20607,Europe & Central Asia
1983,United Kingdom,1.777,74.44,56379327,12.2,21357,Europe & Central Asia
1984,United Kingdom,1.796,74.83,56436762,11.7,21904,Europe & Central Asia
1985,United Kingdom,1.812,74.68,56516908,11.4,22648,Europe & Central Asia
1986,United Kingdom,1.822,74.95,56622956,11.1,23516,Europe & Central Asia
